City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
57,Qaanaaq,GL,77.484,-69.3632,40.82,87,99,5.75,overcast clouds
58,Avera,US,33.194,-82.5271,76.95,75,99,5.66,overcast clouds
59,Port Alfred,ZA,-33.5906,26.891,71.08,48,100,5.53,overcast clouds
60,Sovetskiy,RU,61.3614,63.5842,57.34,39,69,5.64,broken clouds
61,Butaritari,KI,3.0707,172.7902,79.92,79,55,3.6,moderate rain
62,Naze,JP,28.3667,129.4833,74.17,88,100,4.85,overcast clouds
63,Constitucion,CL,-35.3333,-72.4167,59.11,62,56,9.06,broken clouds
64,Seymchan,RU,62.8833,152.4333,42.55,80,0,2.48,clear sky
65,Castro,BR,-24.7911,-50.0119,56.77,96,100,8.1,overcast clouds
66,Havelock,US,34.8791,-76.9013,82.94,85,75,5.99,broken clouds
67,Norman Wells,CA,65.282,-126.8329,44.64,53,20,5.75,few clouds
68,George,ZA,-33.963,22.4617,72.95,35,0,9.22,clear sky
69,Faanui,PF,-16.4833,-151.75,79.18,78,98,14.88,overcast clouds
70,Kahului,US,20.8947,-156.47,76.84,76,27,8.99,scattered clouds
71,Georgetown,MY,5.4112,100.3354,84.15,77,20,0.0,few clouds
72,Vila Velha,BR,-20.3297,-40.2925,80.55,71,40,1.99,scattered clouds
73,Tiksi,RU,71.6872,128.8694,35.2,90,100,5.12,light rain
74,Bud,US,39.447,-86.1758,78.22,98,59,11.03,broken clouds
75,Vardo,NO,70.3705,31.1107,55.6,81,20,6.91,few clouds
76,Mankera,PK,31.3866,71.4407,109.26,13,0,10.87,clear sky
77,Shizunai,JP,42.3339,142.3669,53.98,96,73,4.29,broken clouds
78,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,18.14,light rain
79,Indramayu,ID,-6.3264,108.32,80.53,76,85,4.9,overcast clouds
80,Souillac,MU,-20.5167,57.5167,73.78,73,40,18.68,light rain
