City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
86,Sao Borja,BR,2021-06-08 14:05:16,-28.6606,-56.0044,63.82,90,71,3.76
87,Gat,IL,2021-06-08 14:03:04,31.61,34.7642,85.41,44,18,13.42
88,Puerto Ayora,EC,2021-06-08 14:06:14,-0.7393,-90.3518,76.96,90,64,5.01
89,Banyo,CM,2021-06-08 14:06:15,6.75,11.8167,81.86,56,38,6.08
90,San Patricio,US,2021-06-08 14:06:15,28.017,-97.5169,84.29,81,45,16.82
91,Deputatskiy,RU,2021-06-08 14:06:15,69.3,139.9,37.17,87,16,1.39
92,Ancud,CL,2021-06-08 14:06:16,-41.8697,-73.8203,52.23,78,100,17.92
93,Ilulissat,GL,2021-06-08 14:06:16,69.2167,-51.1,46.42,61,20,4.61
94,Mende,FR,2021-06-08 14:06:16,44.6667,3.5,65.19,44,67,8.01
95,Alice Springs,AU,2021-06-08 14:06:16,-23.7,133.8833,44.15,53,9,7.23
96,Grootfontein,NA,2021-06-08 14:06:17,-19.5667,18.1167,74.52,25,5,9.26
97,Port Alfred,ZA,2021-06-08 14:06:17,-33.5906,26.891,75.43,41,100,7.85
98,Cuamba,MZ,2021-06-08 14:06:17,-14.8031,36.5372,71.65,53,96,7.43
99,Souillac,MU,2021-06-08 14:06:17,-20.5167,57.5167,72.36,68,94,19.1
100,Cabo San Lucas,MX,2021-06-08 14:02:08,22.8909,-109.9124,88.81,53,4,6.2
101,Santa Isabel,BR,2021-06-08 14:04:23,-23.3156,-46.2214,67.71,75,82,3.27
102,Barabai,ID,2021-06-08 14:06:18,-2.5833,115.3833,78.93,80,99,1.39
103,Iqaluit,CA,2021-06-08 14:06:18,63.7506,-68.5145,33.53,86,90,8.99
104,Avarua,CK,2021-06-08 14:06:19,-21.2078,-159.775,68.05,94,77,3.44
105,Opuwo,NA,2021-06-08 14:06:19,-18.0607,13.84,80.94,16,17,8.93
106,Pacifica,US,2021-06-08 14:02:00,37.6138,-122.4869,55.71,88,75,1.01
107,Thompson,CA,2021-06-08 14:06:19,55.7435,-97.8558,50.16,87,75,6.91
108,Saldanha,ZA,2021-06-08 14:06:19,-33.0117,17.9442,64.06,71,13,11.43
109,Emerald,AU,2021-06-08 14:06:20,-23.5333,148.1667,64.35,74,68,8.1
110,Qaanaaq,GL,2021-06-08 14:06:20,77.484,-69.3632,40.93,83,99,6.17
111,Nikolskoye,RU,2021-06-08 14:06:21,59.7035,30.7861,71.49,41,88,8.99
112,Santa Marta,CO,2021-06-08 14:03:53,11.2408,-74.199,82.98,75,100,1.1
113,Kahului,US,2021-06-08 14:06:22,20.8947,-156.47,75.85,75,90,8.05
114,Kaeo,NZ,2021-06-08 14:06:22,-35.1,173.7833,57.33,96,99,16.35
115,Namatanai,PG,2021-06-08 14:06:22,-3.6667,152.4333,79.5,83,87,6.67
116,Tigil,RU,2021-06-08 14:06:23,57.8,158.6667,46.76,78,100,4.34
117,Tabuk,PH,2021-06-08 14:06:23,17.4189,121.4443,74.8,94,100,2.51
118,Banda Aceh,ID,2021-06-08 14:06:23,5.5577,95.3222,81.19,77,100,12.17
119,San Pedro,PH,2021-06-08 14:06:24,14.35,121.0167,81.63,86,40,2.24
120,Cabedelo,BR,2021-06-08 14:06:24,-6.9811,-34.8339,84.87,77,94,12.48
121,Hithadhoo,MV,2021-06-08 14:06:24,-0.6,73.0833,83.32,73,73,10.0
122,Colac,AU,2021-06-08 14:06:25,-38.3333,143.5833,49.62,93,100,16.93
123,Taksimo,RU,2021-06-08 14:03:57,56.3444,114.8794,50.61,91,100,3.6
124,Bluff,NZ,2021-06-08 14:06:25,-46.6,168.3333,49.8,87,100,6.13
125,Tual,ID,2021-06-08 14:06:25,-5.6667,132.75,81.23,81,41,18.28
126,Barrow,US,2021-06-08 14:01:27,71.2906,-156.7887,30.22,86,90,17.27
127,Kaka,TM,2021-06-08 14:06:26,37.3482,59.6143,92.07,22,0,7.38
128,Camana,PE,2021-06-08 14:06:26,-16.6228,-72.7111,68.58,67,10,9.82
129,Naze,JP,2021-06-08 14:06:26,28.3667,129.4833,74.05,90,100,4.47
130,Tura,IN,2021-06-08 14:06:27,25.5198,90.2201,75.25,92,9,3.85
131,Cherskiy,RU,2021-06-08 14:06:27,68.75,161.3,39.51,83,87,10.13
132,Porto Alegre,BR,2021-06-08 14:06:27,-30.0331,-51.23,63.95,84,90,5.01
133,Opelousas,US,2021-06-08 14:06:27,30.5335,-92.0815,84.79,83,75,5.75
134,Vao,NC,2021-06-08 14:06:28,-22.6667,167.4833,68.65,66,92,6.2
135,Harper,LR,2021-06-08 14:06:28,4.375,-7.7169,83.68,70,98,8.3
136,Padang,ID,2021-06-08 14:06:28,-0.9492,100.3543,80.65,87,80,2.57
137,Kotelnikovo,RU,2021-06-08 14:06:29,47.6317,43.1461,69.01,65,90,12.44
138,Bredasdorp,ZA,2021-06-08 14:06:29,-34.5322,20.0403,67.28,68,0,6.51
139,Benton Harbor,US,2021-06-08 14:06:29,42.1167,-86.4542,78.31,83,40,0.0
140,Kieta,PG,2021-06-08 14:06:30,-6.2167,155.6333,80.26,84,92,7.45
141,Lorengau,PG,2021-06-08 14:06:30,-2.0226,147.2712,81.0,78,87,2.68
142,Delemont,CH,2021-06-08 14:06:30,47.3649,7.3445,72.32,82,90,4.85
143,Husavik,IS,2021-06-08 14:06:30,66.0449,-17.3389,47.59,81,93,4.74
