City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Bibiani,GH,89.49,overcast clouds,6.4635,-2.3194,Bibiani
347,Tevaitoa,PF,78.69,overcast clouds,-16.7833,-151.5,Uturoa
349,Gilbert,US,85.35,clear sky,33.3528,-111.789,Gilbert
351,Springdale,US,74.19,scattered clouds,36.1867,-94.1288,Fayetteville
352,Amuntai,ID,79.11,overcast clouds,-2.4177,115.2494,Amuntai
353,Portobelo,PA,80.74,overcast clouds,9.55,-79.65,Portobelo
354,Iquitos,PE,83.88,broken clouds,-3.7481,-73.2472,Iquitos
356,Murgab,TM,89.65,clear sky,37.4966,61.9714,Mary
357,Russell,US,80.31,overcast clouds,32.3502,-85.1999,Russell County High School
358,Saint-Leu,RE,70.63,scattered clouds,-21.15,55.2833,Saint-Paul
363,Kavieng,PG,81.37,moderate rain,-2.5744,150.7967,Kaewieng
365,Columbus,US,82.87,broken clouds,39.9612,-82.9988,Columbus
367,Faya,SA,87.91,broken clouds,18.3851,42.4509,الغال
370,Ewo,CG,85.84,overcast clouds,-0.8725,14.8206,Ewo
372,Waupun,US,84.06,few clouds,43.6333,-88.7296,Waupun
373,Riberalta,BO,80.56,overcast clouds,-10.9833,-66.1,Riberalta
374,Sao Joao Da Barra,BR,80.69,few clouds,-21.6403,-41.0511,Grussaí
375,Cururupu,BR,87.76,broken clouds,-1.8283,-44.8683,Cururupu
376,Ipswich,GB,75.31,few clouds,52.0592,1.1555,Ipswich
377,Saint-Georges,GD,80.73,broken clouds,12.0564,-61.7485,Saint George's
378,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Lufi-lufi
382,West Odessa,US,81.88,haze,31.8424,-102.4988,West Odessa
383,Tamandare,BR,80.47,broken clouds,-8.7597,-35.1047,Tamandaré
387,Ouro Fino,BR,76.33,few clouds,-22.2831,-46.3692,Ouro Fino
388,Pangoa,PE,80.17,few clouds,-12.1167,-73.0,Colegio De Pangoa
389,Izhevskoye,RU,70.92,overcast clouds,54.5567,40.8703,Izhevskoye
391,Margate,GB,75.06,scattered clouds,51.3813,1.3862,Margate
392,Bardiyah,LY,83.46,clear sky,31.7561,25.0865,Bardiyah
393,Ovalle,CL,70.07,clear sky,-30.5983,-71.2003,Ovalle
395,Grammichele,IT,75.92,scattered clouds,37.2123,14.6397,Grammichele
399,Guane,CU,86.63,overcast clouds,22.2025,-84.0875,Guane
401,Aguimes,ES,74.66,clear sky,27.9054,-15.4461,"Ingenio, Las Palmas"
402,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,Ponta Delgada
403,Kamina,CD,80.15,clear sky,-8.7386,24.9906,Kamina
405,Hengshui,CN,80.28,light rain,37.7322,115.7011,Hengshui
406,Kokopo,PG,77.65,overcast clouds,-4.352,152.2633,Kokopo
407,Hirado,JP,74.35,light rain,33.3597,129.5531,Hirado
408,Mayo,US,86.41,clear sky,38.8876,-76.5119,Mayo
410,Daru,PG,77.4,broken clouds,-9.0763,143.2092,Daru
414,Puerto Del Rosario,ES,82.08,few clouds,28.5004,-13.8627,Puerto del Rosario
415,Senneterre,CA,73.69,scattered clouds,48.3835,-77.2328,Senneterre
416,Wajir,KE,86.7,overcast clouds,1.7471,40.0573,Wajir
417,Tranas,SE,72.37,overcast clouds,58.0372,14.9782,Tranås
